date,adjclose,close
2004-11-18,44.380001068115234,44.380001068115234
2004-11-19,44.779998779296875,44.779998779296875
2004-11-22,44.95000076293945,44.95000076293945
2004-11-23,44.75,44.75
2004-11-24,45.04999923706055,45.04999923706055
2004-11-26,45.290000915527344,45.290000915527344
2004-11-29,45.400001525878906,45.400001525878906
2004-11-30,45.119998931884766,45.119998931884766
2004-12-01,45.380001068115234,45.380001068115234
2004-12-02,44.95000076293945,44.95000076293945
2004-12-03,45.599998474121094,45.599998474121094
2004-12-06,45.16999816894531,45.16999816894531
2004-12-07,45.11000061035156,45.11000061035156
2004-12-08,44.0099983215332,44.0099983215332
2004-12-09,43.779998779296875,43.779998779296875
2004-12-10,43.439998626708984,43.439998626708984
2004-12-13,43.90999984741211,43.90999984741211
2004-12-14,43.54999923706055,43.54999923706055
2004-12-15,43.9900016784668,43.9900016784668
2004-12-16,43.68000030517578,43.68000030517578
2004-12-17,44.189998626708984,44.189998626708984
2004-12-20,44.34000015258789,44.34000015258789
2004-12-21,44.220001220703125,44.220001220703125
2004-12-22,44.02000045776367,44.02000045776367
2004-12-23,44.27000045776367,44.27000045776367
2004-12-27,44.47999954223633,44.47999954223633
2004-12-28,44.369998931884766,44.369998931884766
2004-12-29,43.65999984741211,43.65999984741211
2004-12-30,43.83000183105469,43.83000183105469
2004-12-31,43.79999923706055,43.79999923706055
2005-01-03,43.02000045776367,43.02000045776367
2005-01-04,42.7400016784668,42.7400016784668
2005-01-05,42.66999816894531,42.66999816894531
2005-01-06,42.150001525878906,42.150001525878906
2005-01-07,41.84000015258789,41.84000015258789
2005-01-10,41.95000076293945,41.95000076293945
2005-01-11,42.209999084472656,42.209999084472656
2005-01-12,42.599998474121094,42.599998474121094
2005-01-13,42.599998474121094,42.599998474121094
2005-01-14,42.31999969482422,42.31999969482422
2005-01-18,42.31999969482422,42.31999969482422
2005-01-19,42.2599983215332,42.2599983215332
2005-01-20,42.25,42.25
2005-01-21,42.7400016784668,42.7400016784668
2005-01-24,42.77000045776367,42.77000045776367
2005-01-25,42.2400016784668,42.2400016784668
2005-01-26,42.689998626708984,42.689998626708984
2005-01-27,42.619998931884766,42.619998931884766
2005-01-28,42.689998626708984,42.689998626708984
2005-01-31,42.220001220703125,42.220001220703125
2005-02-01,42.099998474121094,42.099998474121094
2005-02-02,42.15999984741211,42.15999984741211
2005-02-03,41.68000030517578,41.68000030517578
2005-02-04,41.470001220703125,41.470001220703125
2005-02-07,41.27000045776367,41.27000045776367
2005-02-08,41.2599983215332,41.2599983215332
2005-02-09,41.310001373291016,41.310001373291016
2005-02-10,41.75,41.75
2005-02-11,42.08000183105469,42.08000183105469
2005-02-14,42.54999923706055,42.54999923706055
2005-02-15,42.58000183105469,42.58000183105469
2005-02-16,42.52000045776367,42.52000045776367
2005-02-17,42.72999954223633,42.72999954223633
2005-02-18,42.75,42.75
